Level,Date,Source,ID,Task
Warning,4/13/2022 5:20:45 AM,Microsoft-Windows-Time-Service,134,None,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)"
Information,4/13/2022 5:20:44 AM,EventLog,6013,None,The system uptime is 2610381 seconds.
Information,4/13/2022 5:20:43 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎04‎-‎13T12:20:43.500000000Z from ‎2022‎-‎04‎-‎12T17:59:09.470410900Z.

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4)."
Information,4/12/2022 10:59:09 AM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,4/12/2022 10:59:05 AM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,4/12/2022 10:59:03 AM,Microsoft-Windows-Kernel-Power,187,(243),User-mode process attempted to change the system state by calling SetSuspendState or SetSystemPowerState APIs.
Information,4/12/2022 10:59:02 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,4/12/2022 10:59:02 AM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Information,4/12/2022 10:56:33 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,4/12/2022 10:55:33 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-D57JJ0U\Hp SID (S-1-5-21-59471354-1410144394-4117892861-1002) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,4/12/2022 10:55:19 AM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Information,4/12/2022 10:55:19 AM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,4/12/2022 10:55:19 AM,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2022‎-‎04‎-‎12T17:38:11.594222600Z
Wake Time: ‎2022‎-‎04‎-‎12T17:55:19.009368300Z

Wake Source: Power Button"
Information,4/12/2022 10:55:18 AM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2022‎-‎04‎-‎12T17:55:18.693781100Z from ‎2022‎-‎04‎-‎12T17:55:18.688305300Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume2\Windows\System32\svchost.exe' (PID 3804)."
Information,4/12/2022 10:55:18 AM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 420.
